CASE          Teff       eTeff      Dist       eDist    Rad        eRad        NH       eNH         h       log(z)  elog(z)
CASEI         98.0501    7.75666    554.152    268.901  0.0405251  0.0225084   0.027546 0.00987028 6.03482 -24.4967 0.0776841 
CASEIb        96.5645    6.12101    406.699    26.3127  0.0417197  0.0221603  0.0282583  0.0094508 6.04315 -24.5252 0.0777377 
CASEII        102.232    2.92874    404.529    26.1857  0.0452026 0.00369392  0.0398268 0.00438304 4.87268 -24.1519 0.0698046 
CASEIIb       99.9445    7.15621    405.407    25.6034  0.0394807  0.0217566  0.0260324 0.00918727 6.08995 -24.5473 0.0780381 
CASEIII       102.109    2.58519    404.387    26.4058  0.0450688 0.00369332  0.0420927 0.00529154 4.6761  -23.9327 0.068382 
CASEIIIb      98.6919    6.31129    405.509    26.8267  0.0411823  0.0215125  0.0254012  0.0102324 6.01317 -24.5348 0.0775446 
CASEIV        101.629    2.47672    403.798    26.0126  0.045198  0.00388695  0.0400874 0.00482923 4.6761 -23.9327 0.068382
CASEIVb       98.9006    6.23786    404.086    26.8657  0.0408563  0.0213906  0.0236645 0.00977762 6.01317 -24.5348 0.0775446
CASEV         102.337    2.80122     405.62    26.3454  0.0448344 0.00358188  0.0393931 0.00490963 4.9131  -24.1505 0.0700935 
CASEVb        99.8169    6.74252    406.161    25.9624   0.039484  0.0217602  0.0257286 0.00919548 5.95453 -24.416  0.0771656 
